"date","South Korea"
2023-02-02,0
2023-02-09,0
2023-02-16,0
2023-02-23,0
2023-03-02,1
2023-03-09,1
2023-03-16,1
2023-03-23,1
2023-03-30,2
2023-04-06,8
2023-04-13,19
2023-04-20,31
2023-04-27,44
2023-05-04,54
2023-05-11,64
2023-05-18,74
2023-05-25,83
2023-06-01,89
2023-06-08,95
2023-06-15,98
2023-06-22,99
2023-06-29,102
2023-07-06,106
2023-07-13,107
2023-07-20,110
2023-07-27,113
2023-08-03,116
2023-08-10,116
2023-08-17,116
2023-08-24,116
2023-08-31,116
2023-09-07,116
2023-09-14,116
2023-09-21,116
2023-09-28,116
2023-10-05,116
2023-10-12,116
2023-10-19,116
2023-10-26,116
2023-11-02,116
2023-11-09,116
2023-11-16,116
2023-11-23,116
2023-11-30,116
2023-12-07,116
2023-12-14,116
2023-12-21,116
2023-12-28,116
