"date","China"
2023-02-02,1
2023-02-09,0
2023-02-16,0
2023-02-23,0
2023-03-02,0
2023-03-09,0
2023-03-16,1
2023-03-23,1
2023-03-30,0
2023-04-06,10
2023-04-13,14
2023-04-20,19
2023-04-27,10
2023-05-04,18
2023-05-11,18
2023-05-18,17
2023-05-25,17
2023-06-01,44
2023-06-08,59
2023-06-15,59
2023-06-22,85
2023-06-29,110
2023-07-06,128
2023-07-13,123
2023-07-20,120
2023-07-27,134
2023-08-03,134
2023-08-10,121
2023-08-17,114
2023-08-24,101
2023-08-31,104
2023-09-07,75
2023-09-14,53
2023-09-21,35
2023-09-28,34
2023-10-05,28
2023-10-12,23
2023-10-19,20
2023-10-26,31
2023-11-02,15
2023-11-09,12
2023-11-16,15
2023-11-23,5
2023-11-30,0
2023-12-07,0
2023-12-14,1
2023-12-21,0
2023-12-28,1
