"date","Japan"
2023-02-02,0
2023-02-09,0
2023-02-16,0
2023-02-23,0
2023-03-02,0
2023-03-09,0
2023-03-16,0
2023-03-23,0
2023-03-30,0
2023-04-06,0
2023-04-13,1
2023-04-20,9
2023-04-27,5
2023-05-04,9
2023-05-11,16
2023-05-18,6
2023-05-25,3
2023-06-01,6
2023-06-08,1
2023-06-15,0
2023-06-22,3
2023-06-29,2
2023-07-06,2
2023-07-13,0
2023-07-20,0
2023-07-27,0
2023-08-03,1
2023-08-10,3
2023-08-17,0
2023-08-24,0
2023-08-31,2
2023-09-07,8
2023-09-14,3
2023-09-21,1
2023-09-28,2
2023-10-05,1
2023-10-12,3
2023-10-19,4
2023-10-26,2
2023-11-02,2
2023-11-09,3
2023-11-16,1
2023-11-23,1
2023-11-30,1
2023-12-07,1
2023-12-14,1
2023-12-21,0
2023-12-28,0
