location,date,total_cases
Africa,2022-05-01,27
Africa,2022-05-02,27
Africa,2022-05-03,27
Africa,2022-05-04,27
Africa,2022-05-05,27
Africa,2022-05-06,27
Africa,2022-05-07,27
Africa,2022-05-08,27
Africa,2022-05-09,27
Africa,2022-05-10,27
Africa,2022-05-11,27
Africa,2022-05-12,27
Africa,2022-05-13,31
Africa,2022-05-14,31
Africa,2022-05-15,31
Africa,2022-05-16,31
Africa,2022-05-17,31
Africa,2022-05-18,31
Africa,2022-05-19,31
Africa,2022-05-20,43
Africa,2022-05-21,43
Africa,2022-05-22,43
Africa,2022-05-23,43
Africa,2022-05-24,43
Africa,2022-05-25,43
Africa,2022-05-26,43
Africa,2022-05-27,43
Africa,2022-05-28,43
Africa,2022-05-29,43
Africa,2022-05-30,43
Africa,2022-05-31,43
Africa,2022-06-01,43
Africa,2022-06-02,44
Africa,2022-06-03,62
Africa,2022-06-04,62
Africa,2022-06-05,62
Africa,2022-06-06,62
Africa,2022-06-07,62
Africa,2022-06-08,62
Africa,2022-06-09,62
Africa,2022-06-10,77
Africa,2022-06-11,77
Africa,2022-06-12,77
Africa,2022-06-13,77
Africa,2022-06-14,77
Africa,2022-06-15,77
Africa,2022-06-16,77
Africa,2022-06-17,176
Africa,2022-06-18,176
Africa,2022-06-19,176
Africa,2022-06-20,176
Africa,2022-06-21,176
Africa,2022-06-22,176
Africa,2022-06-23,176
Africa,2022-06-24,202
Africa,2022-06-25,202
Africa,2022-06-26,202
Africa,2022-06-27,202
Africa,2022-06-28,202
Africa,2022-06-29,202
Africa,2022-06-30,202
Africa,2022-07-01,232
Africa,2022-07-02,232
Africa,2022-07-03,232
Africa,2022-07-04,232
Africa,2022-07-05,232
Africa,2022-07-06,232
Africa,2022-07-07,232
Africa,2022-07-08,254
Africa,2022-07-09,254
Africa,2022-07-10,254
Africa,2022-07-11,254
Africa,2022-07-12,254
Africa,2022-07-13,254
Africa,2022-07-14,254
Africa,2022-07-15,276
Africa,2022-07-16,276
Africa,2022-07-17,276
Africa,2022-07-18,276
Africa,2022-07-19,276
Africa,2022-07-20,276
Africa,2022-07-21,276
Africa,2022-07-22,292
Africa,2022-07-23,292
Africa,2022-07-24,292
Africa,2022-07-25,292
Africa,2022-07-26,292
Africa,2022-07-27,292
Africa,2022-07-28,292
Africa,2022-07-29,333
Africa,2022-07-30,333
Africa,2022-07-31,333
Africa,2022-08-01,334
